"","provinsi","kota_kab","kecamatan","kode_pos","url","lat","lng"
"48","Banten","Tangerang","Pagedangan",15339,"https://www.google.com/maps/place/Kec.+Pagedangan,+Kabupaten+Tangerang,+Banten/@-6.2970921,106.5807544,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69fcb040eb313f:0xfa5746ee07698ca0!8m2!3d-6.2989555!4d106.613862!16s%2Fm%2F0q40hg7","106.5807544","-6.2970921"
"49","Banten","Tangerang","Cisauk",15345,"https://www.google.com/maps/place/Kec.+Cisauk,+Kabupaten+Tangerang,+Banten/@-6.3274365,106.5899588,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69e360eb0b65df:0xd5ed106c9053b86d!8m2!3d-6.3408595!4d106.6369178!16s%2Fm%2F0q41hng","106.5899588","-6.3274365"
"50","Banten","Tangerang Selatan","Ciputat Timur",15412,"https://www.google.com/maps/place/Kec.+Ciputat+Tim.,+Kota+Tangerang+Selatan,+Banten/@-6.2977986,106.7173078,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69f0213739f16b:0x277c1f93d2f2c596!8m2!3d-6.3057424!4d106.7574136!16s%2Fg%2F121d1gtz","106.7173078","-6.2977986"
"51","Banten","Tangerang Selatan","Pamulang",15417,"https://www.google.com/maps/place/Kec.+Pamulang,+Kota+Tangerang+Selatan,+Banten/@-6.3333596,106.7040723,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69ef9a6f1af8f5:0xb6ca921381564bdc!8m2!3d-6.3442012!4d106.7362172!16s%2Fm%2F05c076p","106.7040723","-6.3333596"
"52","Banten","Tangerang","Sepatan",15520,"https://www.google.com/maps/place/Kec.+Sepatan,+Kabupaten+Tangerang,+Banten/@-6.1229985,106.5413238,13z/data=!3m1!4b1!4m6!3m5!1s0x2e6a01b87e75b86f:0x401576d14fed6e0!8m2!3d-6.1188248!4d106.5756671!16s%2Fm%2F05c3b3w","106.5413238","-6.1229985"
"53","Banten","Tangerang","Balaraja",15610,"https://www.google.com/maps/place/Kec.+Balaraja,+Kabupaten+Tangerang,+Banten/@-6.2000936,106.4018582,13z/data=!3m1!4b1!4m6!3m5!1s0x2e4203d9c7d37567:0xb5213d24b036bbc2!8m2!3d-6.1855533!4d106.4546757!16s%2Fm%2F05c34_s","106.4018582","-6.2000936"
"54","Banten","Tangerang","Cikupa",15710,"https://www.google.com/maps/place/Kec.+Cikupa,+Kabupaten+Tangerang,+Banten/@-6.2169537,106.443064,12z/data=!3m1!4b1!4m6!3m5!1s0x2e4200b78a02cf49:0xb0480a35473dc190!8m2!3d-6.2181325!4d106.4970097!16s%2Fg%2F11b_2kvlpy","106.443064","-6.2169537"
"55","Banten","Tangerang","Tigaraksa",15720,"https://www.google.com/maps/place/Kec.+Tigaraksa,+Kabupaten+Tangerang,+Banten/@-6.2596997,106.3989742,12z/data=!3m1!4b1!4m6!3m5!1s0x2e4206f20e931b2d:0xef390e4510eb920c!8m2!3d-6.263344!4d106.4668032!16s%2Fm%2F0q404xl","106.3989742","-6.2596997"
"56","Banten","Tangerang","Curug",15810,"https://www.google.com/maps/place/Kec.+Curug,+Kabupaten+Tangerang,+Banten/@-6.236728,106.5313553,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69fdc4c362c7a3:0xec2202a66caa8975!8m2!3d-6.2540795!4d106.5609134!16s%2Fg%2F11b_00tdy1","106.5313553","-6.236728"
"57","Jawa Barat","Bogor","Bogor Barat - Kota",16112,"https://www.google.com/maps/place/Kec.+Bogor+Bar.,+Kota+Bogor,+Jawa+Barat/@-6.5765471,106.7307223,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69c4f738972703:0x2c04739fc32b8e0e!8m2!3d-6.563991!4d106.7633625!16s%2Fg%2F122vl3m9","106.7307223","-6.5765471"
"58","Jawa Barat","Bogor","Bogor Barat - Kota",16113,"https://www.google.com/maps/place/Kec.+Bogor+Bar.,+Kota+Bogor,+Jawa+Barat/@-6.5765471,106.7307223,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69c4f738972703:0x2c04739fc32b8e0e!8m2!3d-6.563991!4d106.7633625!16s%2Fg%2F122vl3m9","106.7307223","-6.5765471"
"59","Jawa Barat","Bogor","Bogor Selatan - Kota",16134,"https://www.google.com/maps/place/Kec.+Bogor+Sel.,+Kota+Bogor,+Jawa+Barat/@-6.642558,106.7748598,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69cf4ec57c4277:0x166f95f4f65b3dd9!8m2!3d-6.6323703!4d106.8075977!16s%2Fg%2F11b_2mf3kg","106.7748598","-6.642558"
"60","Jawa Barat","Bogor","Bogor Timur - Kota",16141,"https://www.google.com/maps/place/Kec.+Bogor+Tim.,+Kota+Bogor,+Jawa+Barat/@-6.6252406,106.7904913,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69c60248bf2c45:0xa2cb8f8e062d7b98!8m2!3d-6.6179444!4d106.820343!16s%2Fg%2F121v7l45","106.7904913","-6.6252406"
"61","Jawa Barat","Bogor","Bogor Timur - Kota",16146,"https://www.google.com/maps/place/Kec.+Bogor+Tim.,+Kota+Bogor,+Jawa+Barat/@-6.6252406,106.7904913,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69c60248bf2c45:0xa2cb8f8e062d7b98!8m2!3d-6.6179444!4d106.820343!16s%2Fg%2F121v7l45","106.7904913","-6.6252406"
"62","Jawa Barat","Bogor","Bogor Utara - Kota",16158,"https://www.google.com/maps/place/Kec.+Bogor+Utara,+Kota+Bogor,+Jawa+Barat/@-6.571628,106.7836423,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69c69defeca06d:0x3f39627dcce71e89!8m2!3d-6.5689517!4d106.8090297!16s%2Fg%2F121vrfx9","106.7836423","-6.571628"
"63","Jawa Barat","Bogor","Tanah Sereal",16164,"https://www.google.com/maps/place/Kec.+Tanah+Sereal,+Kota+Bogor,+Jawa+Barat/@-6.5469091,106.7518684,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69c47618094eef:0xdf0898b3c3bf1812!8m2!3d-6.5701364!4d106.78768!16s%2Fg%2F1hm1qytjf","106.7518684","-6.5469091"
"64","Jawa Barat","Bogor","Parung",16330,"https://www.google.com/maps/place/Kec.+Parung,+Kabupaten+Bogor,+Jawa+Barat/@-6.4396235,106.6701402,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69e7c69a3b1763:0x46c89ef87d5cd193!8m2!3d-6.4270804!4d106.7244846!16s%2Fg%2F1229l1tz","106.6701402","-6.4396235"
"65","Jawa Barat","Bogor","Gunung Sindur",16340,"https://www.google.com/maps/place/Kec.+Gn.+Sindur,+Kabupaten+Bogor,+Jawa+Barat/@-6.3871587,106.6172541,12z/data=!3m1!4b1!4m6!3m5!1s0x2e69e6783ada5ff7:0xc83b82512d2a484b!8m2!3d-6.3847506!4d106.6805261!16s%2Fg%2F120rrrt0","106.6172541","-6.3871587"
"66","Jawa Barat","Depok","Sukmajaya",16411,"https://www.google.com/maps/place/Kec.+Sukmajaya,+Kota+Depok,+Jawa+Barat/@-6.397639,106.8077598,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69eb94dd3cde6b:0x136bba1bb1db0a01!8m2!3d-6.3908929!4d106.8519424!16s%2Fg%2F12276y4g","106.8077598","-6.397639"
"67","Jawa Barat","Depok","Beji",16423,"https://www.google.com/maps/place/Kecamatan+Beji,+Kota+Depok,+Jawa+Barat/@-6.37222,106.7830723,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69ec029f6b544b:0xbe8a105b72cbd07c!8m2!3d-6.3685044!4d106.8081252!16s%2Fg%2F11b_2lkygv","106.7830723","-6.37222"
"68","Jawa Barat","Depok","Beji",16424,"https://www.google.com/maps/place/Kecamatan+Beji,+Kota+Depok,+Jawa+Barat/@-6.37222,106.7830723,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69ec029f6b544b:0xbe8a105b72cbd07c!8m2!3d-6.3685044!4d106.8081252!16s%2Fg%2F11b_2lkygv","106.7830723","-6.37222"
"69","Jawa Barat","Depok","Tapos",16454,"https://www.google.com/maps/place/Kec.+Tapos,+Kota+Depok,+Jawa+Barat/@-6.4212344,106.8505193,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69eae1b5058df9:0x54c5baa0ce9b3df5!8m2!3d-6.4022805!4d106.8850657!16s%2Fg%2F122nc4bw","106.8505193","-6.4212344"
"70","Jawa Barat","Depok","Tapos",16459,"https://www.google.com/maps/place/Kec.+Tapos,+Kota+Depok,+Jawa+Barat/@-6.4212344,106.8505193,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69eae1b5058df9:0x54c5baa0ce9b3df5!8m2!3d-6.4022805!4d106.8850657!16s%2Fg%2F122nc4bw","106.8505193","-6.4212344"
"71","Jawa Barat","Depok","Cinere",16514,"https://www.google.com/maps/place/Kec.+Cinere,+Kota+Depok,+Jawa+Barat/@-6.3323581,106.7732733,14z/data=!3m1!4b1!4m6!3m5!1s0x2e69ee5ce6f2839f:0x443ad7342a684558!8m2!3d-6.3333023!4d106.7828744!16zL20vMDlmcXJ5","106.7732733","-6.3323581"
"72","Jawa Barat","Depok","Bojongsari",16516,"https://www.google.com/maps/place/Kec.+Bojongsari,+Kota+Depok,+Jawa+Barat/@-6.3994125,106.7007938,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69e8bca8fd8281:0xd5f42557d713e00c!8m2!3d-6.4046258!4d106.7417263!16s%2Fg%2F1224tdkc","106.7007938","-6.3994125"
"73","Jawa Barat","Depok","Bojongsari",16517,"https://www.google.com/maps/place/Kec.+Bojongsari,+Kota+Depok,+Jawa+Barat/@-6.3994125,106.7007938,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69e8bca8fd8281:0xd5f42557d713e00c!8m2!3d-6.4046258!4d106.7417263!16s%2Fg%2F1224tdkc","106.7007938","-6.3994125"
"74","Jawa Barat","Bogor","Sukaraja",16710,"https://www.google.com/maps/place/Sukaraja,+Kec.+Sukaraja,+Kabupaten+Bogor,+Jawa+Barat/@-6.5738552,106.7603642,12z/data=!3m1!4b1!4m6!3m5!1s0x2e6849339c12dc7b:0x401e8f1fc28dd70!8m2!3d-6.5261691!4d106.8002889!16s%2Fg%2F122z2fcx","106.7603642","-6.5738552"
"75","Jawa Barat","Bogor","Citeureup",16810,"https://www.google.com/maps/place/Kec.+Citeureup,+Kabupaten+Bogor,+Jawa+Barat/@-6.5208425,106.8610493,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69c0963fe803bd:0xcfcdd5cce43c7f19!8m2!3d-6.4881955!4d106.8814798!16s%2Fg%2F122vl3ml","106.8610493","-6.5208425"
"76","Jawa Barat","Bogor","Cileungsi",16820,"https://www.google.com/maps/search/Cileungsi,Bogor,Jawa+Barat/@-6.3969756,106.9361641,12z/data=!3m1!4b1","106.9361641","-6.3969756"
"77","Jawa Barat","Bogor","Cibinong",16912,"https://www.google.com/maps/place/Cibinong,+Kec.+Cibinong,+Kabupaten+Bogor,+Jawa+Barat/@-6.482367,106.8016857,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69c1e7cdd2e8d3:0x401576d14fed590!8m2!3d-6.4901067!4d106.8306951!16zL20vMGdjODM1","106.8016857","-6.482367"
"78","Jawa Barat","Bogor","Cibinong",16913,"https://www.google.com/maps/place/Cibinong,+Kec.+Cibinong,+Kabupaten+Bogor,+Jawa+Barat/@-6.482367,106.8016857,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69c1e7cdd2e8d3:0x401576d14fed590!8m2!3d-6.4901067!4d106.8306951!16zL20vMGdjODM1","106.8016857","-6.482367"
"79","Jawa Barat","Bogor","Cibinong",16916,"https://www.google.com/maps/place/Cibinong,+Kec.+Cibinong,+Kabupaten+Bogor,+Jawa+Barat/@-6.482367,106.8016857,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69c1e7cdd2e8d3:0x401576d14fed590!8m2!3d-6.4901067!4d106.8306951!16zL20vMGdjODM1","106.8016857","-6.482367"
"80","Jawa Barat","Bogor","Gunung Putri",16967,"https://www.google.com/maps/place/Kec.+Gn.+Putri,+Kabupaten+Bogor,+Jawa+Barat/@-6.3880742,106.8573507,12z/data=!3m1!4b1!4m6!3m5!1s0x2e6994bb2ed58ddd:0x84f82cc3c7e27ab4!8m2!3d-6.4459576!4d106.9124604!16s%2Fg%2F120qdqwl","106.8573507","-6.3880742"
"81","Jawa Barat","Bogor","Gunung Putri",16968,"https://www.google.com/maps/place/Kec.+Gn.+Putri,+Kabupaten+Bogor,+Jawa+Barat/@-6.3880742,106.8573507,12z/data=!3m1!4b1!4m6!3m5!1s0x2e6994bb2ed58ddd:0x84f82cc3c7e27ab4!8m2!3d-6.4459576!4d106.9124604!16s%2Fg%2F120qdqwl","106.8573507","-6.3880742"
"82","Jawa Barat","Bekasi","Jati Sampurna",17435,"https://www.google.com/maps/place/Kec.+Jatisampurna,+Kota+Bks,+Jawa+Barat/@-6.3638425,106.8900559,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69934591400cb1:0xd135a9344ee49de8!8m2!3d-6.3756418!4d106.9164975!16s%2Fg%2F11b_2rp0rh","106.8900559","-6.3638425"
"83","Jawa Barat","Bandung","Sumur Bandung",40112,"https://www.google.com/maps/place/Kec.+Sumur+Bandung,+Kota+Bandung,+Jawa+Barat/@-6.9143781,107.5995533,14z/data=!3m1!4b1!4m6!3m5!1s0x2e68e633c7fd93eb:0xf3e3452e8ebf3b0f!8m2!3d-6.9160833!4d107.6089776!16s%2Fg%2F11b_2mxw0j","107.5995533","-6.9143781"
