"","nama_customer","sales_order","kubikasi_pemenuhan_m3","berat_pemenuhan_kg","tanggal_order","tanggal_po_expired"
"750","FARMERS FAMILY APARTEMEN MEDITERANIA KMY","110407052",0.07916256,20.86596756,2022-12-05,2022-12-08
"751","FARMERS FAMILY APARTEMEN MEDITERANIA KMY","110407101",0.0162,1.95996,2022-12-05,2022-12-09
"752","FOODMART ATRIUM","110407022",0.02751774,9.159254004,2022-12-05,2022-12-10
"753","FOODHALL DAILY CITRA TOWER KEMAYORAN","110407073",0.0248868,3.617748,2022-12-05,2022-12-12
"754","FOODHALL DAILY DUKUH GOLF KEMAYORAN","110407079",0.02173452,8.8875,2022-12-05,2022-12-12
"755","INDOGROSIR KEMAYORAN - TRADISIONAL","110407045",0.03032,6.72804,2022-12-05,2022-12-08
"756","INDOGROSIR KEMAYORAN - TRADISIONAL","110407047",0.01308,2.2272,2022-12-05,2022-12-08
"757","INDOGROSIR KEMAYORAN - TRADISIONAL","110407048",0.00892,2.672,2022-12-05,2022-12-08
"758","INDOGROSIR KEMAYORAN","110407034",0.01722996,3.576,2022-12-05,2022-12-08
"759","PROMOSI JAKARTA - RAWABALI","872003262",0.00363333,0.801285,2022-12-05,2022-12-05
"760","PROMOSI JAKARTA - RAWABALI","872003263",0.10704,26.304,2022-12-05,2022-12-05
"761","Syifa H.","1850/PBI/QBL/XII/2022",NA,NA,NA,NA
"762","Iwang S.","1854/PBI/MEB/XII/2022",NA,NA,NA,NA
"763","Iwang S.","1855/PBI/MEB/XII/2022",NA,NA,NA,NA
"764","HEALTH EMPLOYEE MART","112002456",0.3617896,101.00536996,2022-12-05,1899-12-31
"765","BORWITA CITRA PRIMA - MANADO, PT","111172489",NA,NA,2022-12-02,2022-12-19
"766","INDOGROSIR SUKABUMI","115131456",0.09317754,20.7,2022-12-06,NA
"767","INDOGROSIR SUKABUMI","115131457",0.0654,11.136,2022-12-06,2022-12-08
"768","SAT DC Cianjur","115131402",0.38243916,89.108720004,2022-12-05,NA
"769","SAT DC Cianjur","115131403",0.52365312,70.794960048,2022-12-05,NA
"770","GRIYA SETIABUDI-P30030","115131475",0.007176,1.800249,2022-12-06,2022-12-12
"771","GRIYA SETIABUDI-P30030","115131476",0.01156356,1.772622,2022-12-06,2022-12-12
"772","GRIYA SETIABUDI-P30030","115131477",0.0259888,7.087750004,2022-12-06,2022-12-12
"773","GRIYA SETIABUDI-P30030","115131478",0.03336,21.5736,2022-12-06,2022-12-12
"774","YOGYA PAJAJARAN","115131447",0.00894,0.96498,2022-12-06,NA
"775","YOGYA PAJAJARAN","115131507",0.04830548,10.792589334,2022-12-06,2022-12-12
"776","YOGYA PAJAJARAN","115131508",0.06089115,10.145711004,2022-12-06,2022-12-12
"777","YOGYA PAJAJARAN","115131509",0.04962416,14.244656008,2022-12-06,2022-12-12
"778","YOGYA PAJAJARAN","115131510",0.03213756,21.61164,2022-12-06,2022-12-12
"779","YOGYA PAJAJARAN","115131427",0.01308,2.2272,2022-12-05,1899-12-31
"780","YOGYA CIHAMPELAS WALK-P30037","115131438",0.01308,2.2272,2022-12-05,1899-12-31
"781","YOGYA PLAZA CIMAHI-P30049","115131443",0.01308,2.2272,2022-12-05,1899-12-31
